Top words in document 1
Word: licentiousness, TF-IDF: 0.0289 
Word: intimating, TF-IDF: 0.0289 
Word: lastand, TF-IDF: 0.0289 
Word: waysby, TF-IDF: 0.02521 
Word: inviolable, TF-IDF: 0.02521 
Word: persuaded, TF-IDF: 0.02218 
Word: novelty, TF-IDF: 0.0203 
Word: cherishing, TF-IDF: 0.0203 
Word: postroads, TF-IDF: 0.0203 
Word: comprehending, TF-IDF: 0.0203 
Word: specify, TF-IDF: 0.01926 
Word: welldigested, TF-IDF: 0.01926 
Word: gentlemen, TF-IDF: 0.01911 
Word: expressive, TF-IDF: 0.01848 
Word: respectability, TF-IDF: 0.01848 
Word: discern, TF-IDF: 0.01777 
Word: congratulating, TF-IDF: 0.01777 
Word: disciplined, TF-IDF: 0.01777 
Word: proportionably, TF-IDF: 0.01777 
Word: seminaries, TF-IDF: 0.01777 
Top words in document 2
Word: kentucky, TF-IDF: 0.02636 
Word: misemployed, TF-IDF: 0.02577 
Word: residuary, TF-IDF: 0.02577 
Word: empowers, TF-IDF: 0.02577 
Word: exonerate, TF-IDF: 0.02247 
Word: distressful, TF-IDF: 0.02247 
Word: consuls, TF-IDF: 0.02089 
Word: attachments, TF-IDF: 0.02052 
Word: violences, TF-IDF: 0.02052 
Word: emboldened, TF-IDF: 0.02052 
Word: celerity, TF-IDF: 0.01913 
Word: explains, TF-IDF: 0.01913 
Word: seduced, TF-IDF: 0.01913 
Word: florins, TF-IDF: 0.01913 
Word: encouragements, TF-IDF: 0.01913 
Word: attachment, TF-IDF: 0.0185 
Word: banditti, TF-IDF: 0.0181 
Word: circumspection, TF-IDF: 0.01716 
Word: wabash, TF-IDF: 0.01716 
Word: punctuality, TF-IDF: 0.01716 
Top words in document 3
Word: subscriptions, TF-IDF: 0.03667 
Word: florins, TF-IDF: 0.02953 
Word: situations, TF-IDF: 0.02639 
Word: welldisposed, TF-IDF: 0.02543 
Word: pleasing, TF-IDF: 0.02418 
Word: weights, TF-IDF: 0.02362 
Word: misconception, TF-IDF: 0.02268 
Word: provisionally, TF-IDF: 0.02268 
Word: wretches, TF-IDF: 0.01988 
Word: burthening, TF-IDF: 0.01988 
Word: necessarythat, TF-IDF: 0.01988 
Word: alienations, TF-IDF: 0.01988 
Word: miscarried, TF-IDF: 0.01988 
Word: unsubscribed, TF-IDF: 0.01988 
Word: gentlemen, TF-IDF: 0.01972 
Word: scarcity, TF-IDF: 0.01882 
Word: vacant, TF-IDF: 0.01882 
Word: conducive, TF-IDF: 0.01759 
Word: dictates, TF-IDF: 0.01759 
Word: fortuitous, TF-IDF: 0.01734 
Top words in document 4
Word: chickamaugas, TF-IDF: 0.042 
Word: symptoms, TF-IDF: 0.02195 
Word: impediments, TF-IDF: 0.02148 
Word: particularized, TF-IDF: 0.021 
Word: dimes, TF-IDF: 0.021 
Word: trusty, TF-IDF: 0.021 
Word: extraordinaries, TF-IDF: 0.021 
Word: despaired, TF-IDF: 0.021 
Word: correspondency, TF-IDF: 0.021 
Word: holston, TF-IDF: 0.021 
Word: infractors, TF-IDF: 0.021 
Word: amsterdam, TF-IDF: 0.021 
Word: florinsone, TF-IDF: 0.021 
Word: coins, TF-IDF: 0.02098 
Word: attainable, TF-IDF: 0.01858 
Word: cementing, TF-IDF: 0.01832 
Word: immature, TF-IDF: 0.01832 
Word: conciliating, TF-IDF: 0.01832 
Word: felicitating, TF-IDF: 0.01832 
Word: fulfilling, TF-IDF: 0.01703 
Top words in document 5
Word: warmest, TF-IDF: 0.02921 
Word: indistinctly, TF-IDF: 0.02192 
Word: succors, TF-IDF: 0.02192 
Word: reproached, TF-IDF: 0.02192 
Word: allured, TF-IDF: 0.02192 
Word: inadequatethese, TF-IDF: 0.02192 
Word: hazarded, TF-IDF: 0.02192 
Word: warlike, TF-IDF: 0.02135 
Word: stores, TF-IDF: 0.01777 
Word: 1793, TF-IDF: 0.01746 
Word: coolness, TF-IDF: 0.01746 
Word: violences, TF-IDF: 0.01746 
Word: offensively, TF-IDF: 0.01746 
Word: abounds, TF-IDF: 0.01746 
Word: apparatus, TF-IDF: 0.01628 
Word: choicest, TF-IDF: 0.01628 
Word: encountering, TF-IDF: 0.01628 
Word: florins, TF-IDF: 0.01628 
Word: encouragements, TF-IDF: 0.01628 
Word: remedies, TF-IDF: 0.01574 
Top words in document 6
Word: pennsylvania, TF-IDF: 0.04725 
Word: militia, TF-IDF: 0.03622 
Word: allegheny, TF-IDF: 0.03574 
Word: counties, TF-IDF: 0.03277 
Word: inspector, TF-IDF: 0.03162 
Word: whatsoever, TF-IDF: 0.02742 
Word: insurrection, TF-IDF: 0.02285 
Word: coercion, TF-IDF: 0.01975 
Word: invasions, TF-IDF: 0.01868 
Word: damped, TF-IDF: 0.01787 
Word: selfcreated, TF-IDF: 0.01787 
Word: impotency, TF-IDF: 0.01787 
Word: withholden, TF-IDF: 0.01787 
Word: distillers, TF-IDF: 0.01787 
Word: weighted, TF-IDF: 0.01787 
Word: avidity, TF-IDF: 0.01787 
Word: rioters, TF-IDF: 0.01787 
Word: sensations, TF-IDF: 0.01787 
Word: misapprehended, TF-IDF: 0.01787 
Word: wayne, TF-IDF: 0.01787 
Top words in document 7
Word: violences, TF-IDF: 0.03402 
Word: gentlemen, TF-IDF: 0.02824 
Word: indians, TF-IDF: 0.02458 
Word: tranquillity, TF-IDF: 0.02185 
Word: undecaying, TF-IDF: 0.02136 
Word: retaliations, TF-IDF: 0.02136 
Word: excepts, TF-IDF: 0.02136 
Word: molestations, TF-IDF: 0.02136 
Word: augments, TF-IDF: 0.02136 
Word: perpetrated, TF-IDF: 0.02079 
Word: burthens, TF-IDF: 0.02079 
Word: agreeable, TF-IDF: 0.01958 
Word: garrisoning, TF-IDF: 0.01863 
Word: tenderness, TF-IDF: 0.01863 
Word: announces, TF-IDF: 0.01863 
Word: forwarding, TF-IDF: 0.01863 
Word: tranquillitya, TF-IDF: 0.01863 
Word: imbittered, TF-IDF: 0.01863 
Word: displays, TF-IDF: 0.01701 
Word: confirmations, TF-IDF: 0.01701 
Top words in document 8
Word: natchez, TF-IDF: 0.03138 
Word: catholic, TF-IDF: 0.02627 
Word: esq, TF-IDF: 0.023 
Word: algiers, TF-IDF: 0.02136 
Word: indies, TF-IDF: 0.0207 
Word: academy, TF-IDF: 0.0207 
Word: equipping, TF-IDF: 0.02052 
Word: contributes, TF-IDF: 0.0184 
Word: colerain, TF-IDF: 0.01799 
Word: egbert, TF-IDF: 0.01799 
Word: desirableness, TF-IDF: 0.01799 
Word: brittanic, TF-IDF: 0.01799 
Word: repeatable, TF-IDF: 0.01799 
Word: michilimackinac, TF-IDF: 0.01799 
Word: aranjuez, TF-IDF: 0.01799 
Word: homogenous, TF-IDF: 0.01799 
Word: trumbull, TF-IDF: 0.01799 
Word: universe, TF-IDF: 0.01752 
Word: treatyto, TF-IDF: 0.01569 
Word: andrews, TF-IDF: 0.01569 
Top words in document 9
Word: damages, TF-IDF: 0.03753 
Word: gentlemen, TF-IDF: 0.03506 
Word: captures, TF-IDF: 0.03179 
Word: consuls, TF-IDF: 0.02579 
Word: philadelphia, TF-IDF: 0.02441 
Word: affections, TF-IDF: 0.02262 
Word: losses, TF-IDF: 0.0217 
Word: commissioners, TF-IDF: 0.0217 
Word: holland, TF-IDF: 0.0217 
Word: sums, TF-IDF: 0.02149 
Word: embarkedone, TF-IDF: 0.02121 
Word: augustto, TF-IDF: 0.02121 
Word: spherethe, TF-IDF: 0.02121 
Word: catholic, TF-IDF: 0.02065 
Word: sickness, TF-IDF: 0.01945 
Word: insinuated, TF-IDF: 0.0185 
Word: determinations, TF-IDF: 0.0185 
Word: sittings, TF-IDF: 0.0185 
Word: adjourned, TF-IDF: 0.01802 
Word: debts, TF-IDF: 0.0172 
Top words in document 10
Word: croix, TF-IDF: 0.05446 
Word: scoodiac, TF-IDF: 0.04087 
Word: gentlemen, TF-IDF: 0.04053 
Word: fundy, TF-IDF: 0.03256 
Word: demarcation, TF-IDF: 0.03136 
Word: france, TF-IDF: 0.02613 
Word: passamaquoddy, TF-IDF: 0.02513 
Word: bay, TF-IDF: 0.02091 
Word: discoverable, TF-IDF: 0.02044 
Word: northernmost, TF-IDF: 0.02044 
Word: determinate, TF-IDF: 0.02044 
Word: walnut, TF-IDF: 0.02044 
Word: malignancy, TF-IDF: 0.02044 
Word: undismayed, TF-IDF: 0.02044 
Word: solidity, TF-IDF: 0.02044 
Word: oblations, TF-IDF: 0.02044 
Word: fruitlessly, TF-IDF: 0.02044 
Word: evacuated, TF-IDF: 0.01782 
Word: natchez, TF-IDF: 0.01782 
Word: demonstrative, TF-IDF: 0.01782 
Top words in document 11
Word: gentlemen, TF-IDF: 0.05697 
Word: philadelphia, TF-IDF: 0.03778 
Word: punctuality, TF-IDF: 0.0328 
Word: deity, TF-IDF: 0.02462 
